ticker,exchange_country,company_name,price,exchange_rate,shares_outstanding,net_income
6178,JP,JAPAN POST HOLDINGS CO LTD,0.128915119,102.5899963,4115.953125,366464
6367,JP,DAIKIN INDUSTRIES LTD,0.81179787,102.5899963,292.0870056,148959
6503,JP,MITSUBISHI ELECTRIC CORP,0.114833993,102.5899963,2146.145996,225091
6505,TW,FORMOSA PETROCHEMICAL CORP,0.084082629,32.25899887,9525.959961,57769.23828
6758,JP,SONY CORP,0.284133915,102.5899963,1261.563965,86516
6837,HK,HAITONG SECURITIES CO LTD,0.32082649,6.643599987,11501.7002,9948.436523
6861,JP,KEYENCE CORP,6.587062817,102.5899963,60.63800049,138120
6902,JP,DENSO CORP,0.388851115,102.5899963,792.7910156,216493
6954,JP,FANUC CORP,1.653761998,102.5899963,193.8679962,139175
6981,JP,MURATA MANUFACTURING CO LTD,1.144917232,102.5899963,212.7400055,194891
7182,JP,JAPAN POST BANK CO LTD,0.13673803,102.5899963,3749.145996,313683
7201,JP,NISSAN MOTOR CO LTD,0.094053657,102.5899963,4071.410889,507421
7203,JP,TOYOTA MOTOR CORP,0.532088661,102.5899963,3011.309082,2218765
7267,JP,HONDA MOTOR CO LTD,0.245665158,102.5899963,1802.282959,333193
7270,JP,FUJI HEAVY INDUSTRIES LTD,0.33151401,102.5899963,780.3779907,431336
7751,JP,CANON INC,0.337974397,102.5899963,1092.071045,199523
8058,JP,MITSUBISHI CORP,0.170454749,102.5899963,1584.770996,-123505
8306,JP,MITSUBISHI UFJ FINANCIAL GROUP INC,0.045193462,102.5899963,13580.59082,862564
8316,JP,SUMITOMO MITSUI FINANCIAL GROUP INC,0.287535697,102.5899963,1367.222046,563103
8411,JP,MIZUHO FINANCIAL GROUP INC,0.01405527,102.5899963,25107.63086,645565
8766,JP,TOKIO MARINE HOLDINGS INC,0.320999709,102.5899963,754.9619751,262339
8802,JP,MITSUBISHI ESTATE CO LTD,0.178342519,102.5899963,1387.432007,87530
9020,JP,EAST JAPAN RAILWAY CO,0.904913079,102.5899963,388.7520142,246044
9022,JP,CENTRAL JAPAN RAILWAY CO,1.802653845,102.5899963,196.798996,346549
9432,JP,NIPPON TELEGRAPH & TELEPHONE CORP,0.469345587,102.5899963,2037.095947,788193
9433,JP,KDDI CORP,0.312536675,102.5899963,2479.998047,517621
9437,JP,NTT DOCOMO INC,0.278178195,102.5899963,3740.528076,586448
9983,JP,FAST RETAILING CO LTD,2.698654989,102.5899963,101.9560013,48673
9984,JP,SOFTBANK GROUP CORP,0.583246041,102.5899963,1132.301025,514947
15760,KR,KOREA ELECTRIC POWER CORP,0.045524499,1151.849976,641.9639893,14645778
500010,IN,HOUSING DEVELOPMENT FINANCE CORP LTD,0.274779899,67.49500275,1582,107828.8984
500112,IN,STATE BANK OF INDIA,0.048138678,67.49500275,7762.799805,76662.54688
500180,IN,HDFC BANK LTD,0.328139259,67.49500275,2528.187012,128013.3125
500209,IN,INFOSYS LTD,0.265772874,67.49500275,2285.633057,138960
500312,IN,OIL & NATURAL GAS CORP LTD,0.047513205,67.49500275,8555.490234,141238.0938
500325,IN,RELIANCE INDUSTRIES LTD,0.233792771,67.49500275,2950,285210
500696,IN,HINDUSTAN UNILEVER LTD,0.197127267,67.49500275,2163.937012,40824.19922
500875,IN,ITC LTD,0.05399977,67.49500275,12070.80957,99116.10156
524715,IN,SUN PHARMACEUTICAL INDUSTRIES LTD,0.167815931,67.49500275,2406.699951,62706.60156
532540,IN,TATA CONSULTANCY SERVICES LTD,0.559325632,67.49500275,1970.427979,248229.4063
533278,IN,COAL INDIA LTD,0.068750971,67.49500275,6316.359863,135752.5938
600016,CN,CHINA MINSHENG BANKING CORP LTD,0.191475054,6.643599987,36485,46556
600030,CN,CITIC SECURITIES CO LTD,0.36058543,6.643599987,12116.9082,12571.65137
600036,CN,CHINA MERCHANTS BANK CO LTD,0.385591215,6.643599987,25220,59951
601288,CN,AGRICULTURAL BANK OF CHINA LTD,0.070843753,6.643599987,324794,181415
601318,CN,PING AN INSURANCE GROUP CO OF CHINA LTD,0.700173516,6.643599987,18280,60330
601398,CN,INDUSTRIAL & COMMERCIAL BANK OF CHINA LTD,0.096375825,6.643599987,356407,278327
601601,CN,CHINA PACIFIC INSURANCE GROUP CO LTD,0.580147614,6.643599987,9062,12575
601766,CN,CRRC CORP LTD,0.195977407,6.643599987,27288.75781,11914.29102
601800,CN,CHINA COMMUNICATIONS CONSTRUCTION CO LTD,0.217369074,6.643599987,16174.73535,16274
601857,CN,PETROCHINA CO LTD,0.156772302,6.643599987,183021,10642
601998,CN,CHINA CITIC BANK CORP LTD,0.111558116,6.643599987,48934.79688,42172
AAPL,US,APPLE INC,97.09360645,1,5393.165039,47797
ABBN,CH,ABB LTD,21.35872367,1,2126.999023,1687
ABBV,US,ABBVIE INC,61.48485725,1,1628.541992,5720
ABEV3,BR,AMBEV SA,1.854540317,3.203749895,15698.48926,11917.4707
ABF,GB,ASSOCIATED BRITISH FOODS PLC,48.5901298,0.748049974,791.6740112,746
ABI,BE,ANHEUSER-BUSCH INBEV SA/NV,130.6478157,1,1608.241943,3948
ABT,US,ABBOTT LABORATORIES,39.28746104,1,1469.994995,2278
ABX,CA,BARRICK GOLD CORP,21.23451372,1,1165.331055,-2831
ACA,FR,CREDIT AGRICOLE SA,9.351178842,0.900129974,2803.120117,3197
ACN,US,ACCENTURE PLC,114.5447605,1,644.7319946,3780.293945
ADBE,US,ADOBE SYSTEMS INC,95.65924079,1,498.9719849,895.5510254
ADM,US,ARCHER-DANIELS-MIDLAND CO,43.22710187,1,583,1484
ADP,US,AUTOMATIC DATA PROCESSING INC,91.83669796,1,455.7000122,1492.5
ADS,DE,ADIDAS AG,171.9013192,0.900129974,200.1970062,909
AEP,US,AMERICAN ELECTRIC POWER CO INC,70.04015501,1,491.6629944,1991.300049
AET,US,AETNA INC,122.0603841,1,350.7999878,2398.300049
AFL,US,AFLAC INC,72.8412894,1,410.1149902,2576
AGN,US,ALLERGAN PLC,230.948087,1,395.7999878,4424.299805
AI,FR,AIR LIQUIDE SA,113.758225,0.900129974,352.5690002,1717.599976
AIG,US,AMERICAN INTERNATIONAL GROUP INC,54.66539607,1,1082.688965,-342
AIR,FR,AIRBUS GROUP SE,63.86894537,0.900129974,772.3980103,2933
ALL,US,ALLSTATE CORP/THE,70.58487933,1,371,1656
ALV,DE,ALLIANZ SE,158.2715659,0.900129974,457,6061
ALXN,US,ALEXION PHARMACEUTICALS INC,116.6538632,1,224.223999,89.95600128
AMAT,US,APPLIED MATERIALS INC,23.9731674,1,1089,1271
AMGN,US,AMGEN INC,152.6207451,1,748.9000244,7433
AMT,US,AMERICAN TOWER CORP,113.4400348,1,425.2609863,798.4099731
AMX L,MX,AMERICA MOVIL SAB DE CV,0.033252483,18.44924927,65564,25277.78125
AMZN,US,AMAZON.COM INC,712.3407833,1,474,1931
ANTM,US,ANTHEM INC,131.2396965,1,263.1539917,2319.300049
ANZ,AU,AUSTRALIA & NEW ZEALAND BANKING GROUP LTD,13.4791496,1.343000054,2894.560059,6725
AON,US,AON PLC,108.8691177,1,265.7999878,1466
APC,US,ANADARKO PETROLEUM CORP,53.24235201,1,510.5,-5211
APD,US,AIR PRODUCTS & CHEMICALS INC,141.7324843,1,216.5500031,581.5999756
ASML,NL,ASML HOLDING NV,109.0920798,0.900129974,433.3330078,1182.5
ATCO B,SE,ATLAS COPCO AB,2.974963442,8.472700119,1216.232056,10927
ATD.B,CA,ALIMENTATION COUCHE-TARD INC,42.7986483,1,567.5900269,1193.5
ATVI,US,ACTIVISION BLIZZARD INC,39.55330157,1,741.2730103,749
AVB,US,AVALONBAY COMMUNITIES INC,180.1923297,1,137.3130035,796.9450073
AVGO,US,BROADCOM LTD,155.677333,1,394.8139954,-140
AXP,US,AMERICAN EXPRESS CO,62.47002111,1,925,5606
AZN,GB,ASTRAZENECA PLC,59.71525329,1,1264.572998,2221
AZO,US,AUTOZONE INC,786.6025214,1,29.50099945,1215.376953
BA,US,BOEING CO/THE,132.1843684,1,625.8579712,3715
BABA,US,ALIBABA GROUP HOLDING LTD,11.9708076,6.643599987,2495.300049,48167
BAC,US,BANK OF AMERICA CORP,13.34161168,1,10216.78125,14756
BAM.A,CA,BROOKFIELD ASSET MANAGEMENT INC,33.87330295,1,958.992981,1409
BARC,GB,BARCLAYS PLC,2.476572787,0.748049974,16913,-501
BAS,DE,BASF SE,84.88163144,0.900129974,918.4790039,4027
BATS,GB,BRITISH AMERICAN TOBACCO PLC,86.54723938,0.748049974,1864.313965,4316
BAX,US,BAXTER INTERNATIONAL INC,46.04548315,1,542.3619995,4798
BAYN,DE,BAYER AG,111.4147168,0.900129974,826.947998,4546
BBCA,ID,BANK CENTRAL ASIA TBK PT,7.63E-05,13212.5,24655.00977,19053496
BBDC4,BR,BANCO BRADESCO SA,2.552358662,3.203749895,5531.884766,16727.58984
BBT,US,BB&T CORP,35.50281519,1,814.5,2216
BBVA,ES,BANCO BILBAO VIZCAYA ARGENTARIA SA,6.250046854,0.900129974,6480.35791,1715
BCE,CA,BCE INC,36.22512729,1.298699975,869.5089722,2867
BDX,US,BECTON DICKINSON AND CO,169.0133694,1,212.9259949,1138
BEI,DE,BEIERSDORF AG,116.0678486,0.900129974,226.8190002,676
BHP,AU,BHP BILLITON LTD,13.19909218,1,5322.442871,-6385
BIDU,US,BAIDU INC,24.83342635,6.643599987,346.6000061,31953.5332
BIIB,US,BIOGEN INC,241.7432867,1,219.1210022,3817.922119
BK,US,BANK OF NEW YORK MELLON CORP/THE,39.19235845,1,1067.67395,3216
BLK,US,BLACKROCK INC,346.8991645,1,162.8760071,3150
BLT,GB,BHP BILLITON PLC,13.45949168,1,5322.769043,-6385
BMO,CA,BANK OF MONTREAL,48.5349352,1.298699975,643.5570068,4424
BMW3,DE,BAYERISCHE MOTOREN WERKE AG,80.57281272,0.900129974,656.8049927,6686
BMY,US,BRISTOL-MYERS SQUIBB CO,73.82895652,1,1663,2929
BN,FR,DANONE SA,83.22656626,0.900129974,616.7620239,1746
BNP,FR,BNP PARIBAS SA,49.10488213,0.900129974,1245.475952,6865
BNS,CA,BANK OF NOVA SCOTIA/THE,37.5365603,1.298699975,1202.732056,6859
BP.,GB,BP PLC,5.920229699,1,18777.15625,-5263
BRK.B,US,BERKSHIRE HATHAWAY INC,217045.4614,1,1.644000053,25496
BSX,US,BOSTON SCIENTIFIC CORP,23.33848855,1,1358.698975,-345
BT.A,GB,BT GROUP PLC,8.724073448,0.748049974,8337.611328,2665
C,US,CITIGROUP INC,42.82121593,1,2905.374023,15125
CAH,US,CARDINAL HEALTH INC,78.93432161,1,322,1427
CAT,US,CATERPILLAR INC,76.01434015,1,582.3220215,1102
CB,US,CHUBB LTD,130.5597655,1,465.0130005,2376
CBA,AU,COMMONWEALTH BANK OF AUSTRALIA,41.3313982,1.343000054,1711.062012,9227
CBS.A,US,CBS CORP,55.61569419,1,446,1583
CCI,US,CROWN CASTLE INTERNATIONAL CORP,101.4293034,1,337.5620117,378.7390137
CCL,GB,CARNIVAL PLC,44.77632132,1,745,2233
CCL,US,CARNIVAL CORP,44.61103188,1,745,2233
CDI,FR,CHRISTIAN DIOR SE,#DIV/0!,0.900129974,,1600
CELG,US,CELGENE CORP,98.57929436,1,775,1925.800049
CFR,CH,CIE FINANCIERE RICHEMONT SA,65.81650676,0.900129974,564.5999756,2227
CHTR,US,CHARTER COMMUNICATIONS INC,224.8719488,1,270.928009,2811
CI,US,CIGNA CORP,128.0404622,1,256.4119873,2002
CIEL3,BR,CIELO SA,3.306856751,3.203749895,2258.568115,3714.695068
CL,US,COLGATE-PALMOLIVE CO,73.32518822,1,891.492981,1401
CM,CA,CANADIAN IMPERIAL BANK OF COMMERCE/CANADA,57.53157844,1.298699975,394.6789856,3662
CMCSA,US,COMCAST CORP,65.60542913,1,2411.825928,8129
CME,US,CME GROUP INC,#DIV/0!,1,,
CNQ,CA,CANADIAN NATURAL RESOURCES LTD,23.59359429,1.298699975,1099.223022,-424
CNR,CA,CANADIAN NATIONAL RAILWAY CO,45.59343601,1.298699975,773.2999878,3598
COF,US,CAPITAL ONE FINANCIAL CORP,64.28510201,1,505.9249878,3989
CON,DE,CONTINENTAL AG,210.5330089,0.900129974,200.0059967,2917.600098
COP,US,CONOCOPHILLIPS,43.59585102,1,1238.505005,-7061
COST,US,COSTCO WHOLESALE CORP,156.9316613,1,438.3680115,2338
CPG,GB,COMPASS GROUP PLC,25.38881543,0.748049974,1643.96106,907
CRG,IE,CRH PLC,31.90436178,0.900129974,829.6619873,957
CRM,US,SALESFORCE.COM INC,79.41000923,1,677.5,-12.75899982
CS,FR,AXA SA,22.04783683,0.900129974,2416.218994,5747
CSCO,US,CISCO SYSTEMS INC,28.66556168,1,5034,10245
CSL,AU,CSL LTD,83.56732569,1,456.6090088,1242.400024
CSX,US,CSX CORP,26.35227284,1,945.9910278,1774
CTSH,US,COGNIZANT TECHNOLOGY SOLUTIONS CORP,57.10518238,1,607.2999878,1514.199951
CVS,US,CVS HEALTH CORP,96.55106366,1,1065,4814
CVX,US,CHEVRON CORP,104.728994,1,1886.52002,-746
D,US,DOMINION RESOURCES INC/VA,77.83127152,1,617,1926
D05,SG,DBS GROUP HOLDINGS LTD,8.700227966,1.345900059,2521.863037,4322
DAI,DE,DAIMLER AG,66.46584603,0.900129974,1069.800049,7974
DAL,US,DELTA AIR LINES INC,37.53346022,1,748.90802,4787
DANSKE,DK,DANSKE BANK A/S,4.015697646,6.696800232,958.0809937,13067
DD,US,EI DU PONT DE NEMOURS & CO,64.78139122,1,874.21698,2228
DE,US,DEERE & CO,81.03996653,1,314.2590027,1612.599976
DG,FR,VINCI SA,78.57619482,0.900129974,594.8809814,2147
DG,US,DOLLAR GENERAL CORP,94.00009423,1,283.7780151,1206.968994
DGE,GB,DIAGEO PLC,34.07983741,0.748049974,2754,2244
DHR,US,DANAHER CORP,101.0140062,1,688.5999756,3545.899902
DIS,US,WALT DISNEY CO/THE,93.35715076,1,1700,9115
DISH,US,DISH NETWORK CORP,52.38401249,1,464.855011,870.9379883
DOW,US,DOW CHEMICAL CO/THE,49.66451988,1,1126.829956,8449
DPW,DE,DEUTSCHE POST AG,31.39081983,0.900129974,1205.271973,1899
DTE,DE,DEUTSCHE TELEKOM AG,#DIV/0!,0.900129974,,
DUK,US,DUKE ENERGY CORP,85.76422464,1,689,2612
EA,US,ELECTRONIC ARTS INC,75.85648748,1,301,1154
EBAY,US,EBAY INC,23.75958446,1,1132,1933
ECL,US,ECOLAB INC,119.2935503,1,291.6000061,955.9000244
ED,US,CONSOLIDATED EDISON INC,80.48244115,1,304,1146
EDF,FR,ELECTRICITE DE FRANCE SA,13.53930275,0.900129974,2013.250977,754
EI,FR,ESSILOR INTERNATIONAL SA,148.6104607,0.900129974,215.2330017,785
EIX,US,EDISON INTERNATIONAL,77.67005845,1,325.8110046,1007
EL,US,ESTEE LAUDER COS INC/THE,91.38576886,1,367.7600098,1114.599976
EMR,US,EMERSON ELECTRIC CO,52.15578824,1,643.4030151,1845
ENB,US,ENBRIDGE INC,32.27969631,1.298699975,934,1573
ENEL,IT,ENEL SPA,4.912162132,0.900129974,10166.67969,2197
ENGI,FR,ENGIE SA,17.9084091,0.900129974,2435.284912,-4491
ENI,IT,ENI SPA,18.08519755,0.900129974,3601.139893,-10616
EOG,US,EOG RESOURCES INC,83.36660065,1,550.6290283,-5124.369141
EQIX,US,EQUINIX INC,378.7511978,1,71.07499695,65.46299744
EQR,US,EQUITY RESIDENTIAL,68.87079891,1,365.5509949,4207.774902
ERIC B,SE,TELEFONAKTIEBOLAGET LM ERICSSON,0.912630156,8.472700119,3262,13689
ESRX,US,EXPRESS SCRIPTS HOLDING CO,76.08097357,1,630.2000122,2682
ETISALAT,AE,EMIRATES TELECOMMUNICATIONS GROUP CO PJSC,1.404571183,3.673099995,8696.753906,8866.741211
ETN,US,EATON CORP PLC,60.16349045,1,454.7000122,1873
EXC,US,EXELON CORP,36.32369187,1,922.6160278,1378
F,US,FORD MOTOR CO,12.56871644,1,3973.240967,8986
FB,US,FACEBOOK INC,113.8939787,1,2870,5999
FDX,US,FEDEX CORP,152.7971001,1,266.6369934,1820
FEMSA UBD,MX,FOMENTO ECONOMICO MEXICANO SAB DE CV,0.47123434,18.44924927,3578.226074,18482.58789
FIS,US,FIDELITY NATIONAL INFORMATION SERVICES INC,73.55697511,1,327,456.3999939
FISV,US,FISERV INC,109.5826338,1,220.6000061,908
FME,DE,FRESENIUS MEDICAL CARE AG & CO KGAA,#DIV/0!,1,,
FOXA,US,TWENTY-FIRST CENTURY FOX INC,27.48873994,1,1869.822998,2755
FP,FR,TOTAL SA,53.53725438,0.900129974,2503.261963,3147
FRE,DE,FRESENIUS SE & CO KGAA,81.85021385,0.900129974,546.2789917,1471
GAZP,RU,GAZPROM PJSC,0.035227261,63.87749863,22977,718312
GD,US,GENERAL DYNAMICS CORP,139.2400011,1,305.6470032,2966
GE,US,GENERAL ELECTRIC CO,32.30350873,1,8961.233398,11888
GGP,US,GENERAL GROWTH PROPERTIES INC,29.7717483,1,884.6279907,695.617981
GILD,US,GILEAD SCIENCES INC,83.47149113,1,1331,16346
GIS,US,GENERAL MILLS INC,71.34640756,1,596.7999878,1697.400024
GLE,FR,SOCIETE GENERALE SA,35.18451559,0.900129974,799.21698,4167
GLEN,GB,GLENCORE PLC,2.067330085,1,14227.50977,-4657
GM,US,GENERAL MOTORS CO,27.23566162,1,1600,12444
GOOGL,US,ALPHABET INC,697.1745083,1,686.7780151,17986
GS,US,GOLDMAN SACHS GROUP INC/THE,158.6690748,1,406.5920105,5148
GSK,GB,GLAXOSMITHKLINE PLC,28.73727017,0.748049974,4861,31
GWO,US,GREAT-WEST LIFECO INC,20.24511152,1.298699975,991.15802,2818
HAL,US,HALLIBURTON CO,45.25129451,1,860,-5702
HCA,US,HCA HOLDINGS INC,79.23723385,1,380.0620117,2383
HCN,US,WELLTOWER INC,76.02203061,1,357.6900024,724.8250122
HD,US,HOME DEPOT INC/THE,127.5881903,1,1245,7233
HEIA,NL,HEINEKEN NV,102.1556166,0.900129974,576.0029907,1334
HEIO,NL,HEINEKEN HOLDING NV,90.29505666,0.900129974,288.0299988,677
HEN3,DE,HENKEL AG & CO KGAA,128.4336002,0.900129974,430.5979919,2016
HM B,SE,HENNES & MAURITZ AB,3.433786094,8.472700119,1655.072021,18734
HMSP,ID,HANJAYA MANDALA SAMPOERNA TBK PT,2.18E-05,13212.5,116318.0781,11499548
HON,US,HONEYWELL INTERNATIONAL INC,116.5096415,1,760.875,4926
HPE,US,HEWLETT PACKARD ENTERPRISE CO,17.60993579,1,1724,2233
HSBA,GB,HSBC HOLDINGS PLC,6.228046692,1,19813,10816
HSY,US,HERSHEY CO/THE,113.0892579,1,214.1289978,498.04599
HUM,US,HUMANA INC,179.8433899,1,149.0670013,960
IBE,ES,IBERDROLA SA,7.512644665,0.900129974,6240,2372.37793
IBM,US,INTERNATIONAL BUSINESS MACHINES CORP,152.4338872,1,955.8439941,11931
ICE,US,INTERCONTINENTAL EXCHANGE INC,256.0581671,1,119,1402
IMB,GB,IMPERIAL BRANDS PLC,72.43840767,0.748049974,958.7109985,1128
IMO,US,IMPERIAL OIL LTD,24.22634229,1.298699975,848,299
INGA,NL,ING GROEP NV,11.33188231,0.900129974,3870.5,3434
INTC,US,INTEL CORP,32.84172897,1,4716,11474
INTU,US,INTUIT INC,111.385053,1,256.3880005,1033
INVE B,SE,INVESTOR AB,3.91197092,8.472700119,763.8220215,-14401
ISPR,IT,INTESA SANPAOLO SPA,2.093567919,0.900129974,16792.07031,2442
ISRG,US,INTUITIVE SURGICAL INC,653.8573966,1,38.5,678.2000122
ITUB4,BR,ITAU UNIBANCO HOLDING SA,2.718912768,3.203749895,6029.726074,25932
ITW,US,ILLINOIS TOOL WORKS INC,105.4541932,1,354.9599915,1954
ITX,ES,INDUSTRIA DE DISENO TEXTIL SA,36.91526253,0.900129974,3116.6521,2908
J36,SG,JARDINE MATHESON HOLDINGS LTD,131.2336333,1,316,2072
J37,SG,JARDINE STRATEGIC HOLDINGS LTD,57.42842549,1,585,2293
JD,US,JD.COM INC,3.064121385,6.643599987,1443.311035,-9319.485352
JNJ,US,JOHNSON & JOHNSON,121.25324,1,2751.705078,15381
JPM,US,JPMORGAN CHASE & CO,62.90861944,1,3611.981934,23958
K,US,KELLOGG CO,81.66125557,1,350,562
KHC,US,KRAFT HEINZ CO/THE,88.51015736,1,1215.541016,1784
KMB,US,KIMBERLY-CLARK CORP,137.6435068,1,359.7000122,1961
KMI,US,KINDER MORGAN INC/DE,18.73869235,1,2229.330078,262
KNEBV,FI,KONE OYJ,52.18650441,0.900129974,512.8289795,1083.5
KO,US,COCA-COLA CO/THE,#DIV/0!,1,,7617
KR,US,KROGER CO/THE,37.10247576,1,941,2100
LBTYK,US,LIBERTY GLOBAL PLC,27.44454197,1,986.6799927,-418
LHN,CH,LAFARGEHOLCIM LTD,42.81008019,0.97420001,605.5709839,-1749
LIN,DE,LINDE AG,155.9571302,0.900129974,185.6380005,1202
LKOH,RU,LUKOIL PJSC,0.784773991,63.87749863,712.9329834,
LLOY,GB,LLOYDS BANKING GROUP PLC,0.967514569,0.748049974,71349,1780
LLY,US,ELI LILLY & CO,78.74957803,1,1103.843018,2465.899902
LMT,US,LOCKHEED MARTIN CORP,249.4374753,1,302.9060059,3613
LNKD,US,LINKEDIN CORP,189.2022819,1,134.7230072,-214.0399933
LOW,US,LOWE'S COS INC,78.47081236,1,894,2757
LUV,US,SOUTHWEST AIRLINES CO,40.37661866,1,620.2329712,2451
LUX,IT,LUXOTTICA GROUP SPA,54.34418604,0.900129974,479.5119934,774.6890259
LVS,US,LAS VEGAS SANDS CORP,43.48922905,1,794.7329712,1633.272949
LYB,US,LYONDELLBASELL INDUSTRIES NV,75.72340747,1,419.3819885,4101
MA,US,MASTERCARD INC,88.19625969,1,1097,3809
MAERSK B,DK,AP MOELLER - MAERSK A/S,1280.482042,1,20.73699951,-1505
MC,FR,LVMH MOET HENNESSY LOUIS VUITTON SE,169.3018376,0.900129974,503.2999878,3704
MCD,US,MCDONALD'S CORP,123.8033333,1,853.2999878,4706.899902
MCK,US,MCKESSON CORP,186.397072,1,226,2224
MDLZ,US,MONDELEZ INTERNATIONAL INC,45.42230988,1,1555.057007,7555
MDT,US,MEDTRONIC PLC,86.57695873,1,1399.017944,3538
MET,US,METLIFE INC,39.82539096,1,1098.793945,4348
MFC,US,MANULIFE FINANCIAL CORP,10.47304992,1.298699975,1973,2617
MMC,US,MARSH & MCLENNAN COS INC,68.74821385,1,519.0479736,1651
MMM,US,3M CO,175.7326668,1,604.4000244,4900
MNST,US,MONSTER BEVERAGE CORP,171.4343712,1,190.3410034,661.4110107
MO,US,ALTRIA GROUP INC,69.04536824,1,1954.005981,5645
MON,US,MONSANTO CO,103.4217196,1,437.526001,1032
MRK,US,MERCK & CO INC,57.65996492,1,2765.626953,5132
MRK,DE,MERCK KGAA,113.0043589,0.900129974,434.7780151,1392.699951
MS,US,MORGAN STANLEY,26.24441067,1,1917.509033,4642
MSFT,US,MICROSOFT CORP,51.51384398,1,7808,16798
MUV2,DE,MUENCHENER RUECKVERSICHERUNGS-GESELLSCHAFT AG IN MUENCHEN,186.631452,0.900129974,160.4519959,2651
NAB,AU,NATIONAL AUSTRALIA BANK LTD,14.42532572,1.343000054,2585.428955,1156
NDA,SE,NORDEA BANK AB,9.331404824,0.900129974,4034.800049,3406
NEE,US,NEXTERA ENERGY INC,130.2436164,1,462,2562
NESN,CH,NESTLE SA,79.18314523,0.97420001,3112.159912,8649
NFLX,US,NETFLIX INC,91.38906474,1,428.7250061,141.022995
NG.,GB,NATIONAL GRID PLC,18.70204083,0.748049974,3924,2591
NKE,US,NIKE INC,55.28932261,1,1682,3760
